Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Jurmana,-1996.0,134 min,Action,5.4,31,T.L.V. Prasad,Mithun Chakraborty,Rambha,Ashwini Bhave
Jurrat,-1989.0,146 min,"Action, Crime",4.6,23,David Dhawan,Shatrughan Sinha,Kumar Gaurav,Amala Akkineni
Just Like That,-2019.0,109 min,Drama,7.9,30,Kislay,Trimala Adhikari,Harish Khanna,Mohini Sharma
Just Married: Marriage Was Only the Beginning!,-2007.0,135 min,"Comedy, Drama, Romance",5.3,495,Meghna Gulzar,Fardeen Khan,Esha Deol,Neelima Azim
Justice Chaudhury,-1983.0,156 min,"Drama, Action, Comedy",5.6,75,K. Raghavendra Rao,Jeetendra,Hema Malini,Sridevi
Jwalamukhi,-1980.0,162 min,"Action, Romance, Drama",5.8,28,Prakash Mehra,Waheeda Rehman,Shatrughan Sinha,Reena Roy
Jwalamukhi,-2000.0,135 min,"Action, Drama",4.2,29,Jagdish A. Sharma,Vijay Sharma,Abdul Rehman Sheikh,Arjun
Jwar Bhata,-1944.0,120 min,"Drama, Romance",7.6,34,Amiya Chakrabarty,Ruma Guha Thakurta,Aga Jaan,Vikram Kapoor
Jwlwi - The Seed,-2019.0,90 min,Drama,8.0,24,Rajni Basumatary,Raj Agnihotri,Mondeep Basumatary,Rajni Basumatary
Jyoti,-1981.0,144 min,Drama,5.9,31,Pramod Chakravorty,Ajit,Birbal,Vijayendra Ghatge
Jyoti Bane Jwala,-1980.0,166 min,"Drama, Family, Action",5.0,38,Narayana Rao Dasari,Jeetendra,Vinod Mehra,Ashok Kumar
Kaabil,-2017.0,139 min,"Action, Crime, Drama",7.1,"24,942",Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy
Kaaboo,-2002.0,135 min,Action,6.5,29,Vicky Ranawat,Rajat Bedi,Sudesh Berry,Abhay Bhargava
Kaadan,-2021.0,170 min,"Action, Drama, Fantasy",9.1,"2,219",Prabu Solomon,Raghu Babu,Rana Daggubati,Abudhar Al Hassan
Kaadhal Parisu,-1987.0,143 min,"Drama, Romance",6.1,97,A. Jagannathan,Kamal Haasan,Radha,Ambika
Kaafiron Ki Namaaz,-2013.0,149 min,"Drama, Thriller",7.1,274,Ram Ramesh Sharma,Alok Chaturvedi,Chandra Shekhar Dutta,Joydip Mukhopadhyay
Kaagaz,-2021.0,109 min,"Biography, Comedy, Drama",7.6,"6,738",Satish Kaushik,Pankaj Tripathi,Monal Gajjar,Satish Kaushik
Kaagaz Ke Fools,-2015.0,109 min,Comedy,3.9,136,Anil Chaudhary,Vinay Pathak,Mugdha Godse,Raima Sen
Kaagaz Ke Phool,-1959.0,148 min,Romance,8.0,"2,136",Guru Dutt,Waheeda Rehman,Guru Dutt,Kumari Naaz
Kaagaz Ki Kashti,-2017.0,127 min,Documentary,8.9,203,Brahmanand S. Singh,Ghulam Ali,Talat Aziz,Mahesh Bhatt
Kaajal,-1965.0,168 min,"Drama, Musical, Romance",6.2,119,Ram Maheshwari,Meena Kumari,Dharmendra,Padmini
Kaal,-2005.0,126 min,"Adventure, Horror, Mystery",4.6,"5,039",Soham Shah,Ajay Devgn,Vivek Oberoi,John Abraham
Kaala,-2018.0,162 min,"Action, Drama",6.7,"8,163",Pa. Ranjith,Rajinikanth,Nana Patekar,Samuthirakani
Kaala Patthar,-1979.0,176 min,"Action, Drama, History",7.7,"2,207",Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Shatrughan Sinha
Kaala Samrajya,-1999.0,119 min,"Action, Crime, Romance",4.2,36,Deepak Bahry,Sunil Shetty,Monica Bedi,Amrish Puri
Kaala Sona,-1975.0,137 min,"Action, Thriller",6.4,61,Ravikant Nagaich,Feroz Khan,Parveen Babi,Prem Chopra
Kaalakaandi,-2018.0,112 min,"Comedy, Thriller",6.3,"2,612",Akshat Verma,Saif Ali Khan,Asif Basra,Neil Bhoopalam
Kaali Khuhi,-2020.0,90 min,"Drama, Horror, Mystery",3.4,"1,032",Terrie Samundra,Shabana Azmi,Sanjeeda Sheikh,Riva Arora
Kaali Ki Saugandh,-2000.0,90 min,Action,5.0,7,Saabir,Anmol,Dharmendra,Johny Fever
Kaalia,-1981.0,157 min,"Action, Drama",6.8,"1,412",Tinnu Anand,Amitabh Bachchan,Asha Parekh,Parveen Babi
Kaalo,-2010.0,79 min,"Action, Drama, Horror",3.3,260,Wilson Louis,Aditya Srivastav,Swini Khara,Aditya Lakhia
Kaam Jwala: The Fire,-2004.0,73 min,Drama,2.7,9,Kanti Shah,Amit Pachori,Sapna Sappu,Junior Jagdeep
Kaam Shastra,-1975.0,136 min,Thriller,6.4,13,Prem Kapoor,Alka,Ramesh Aurora,Urmila Bhatt
Kaamaagni,-1987.0,134 min,"Drama, Music",4.6,7,Ashok Kumar,Sushma Ahuja,Tina Ambani,Leena Das
Kaamchor,-1982.0,135 min,"Drama, Family",6.6,131,K. Viswanath,Rakesh Roshan,Jaya Prada,Tanuja
Kaanchi,-2014.0,151 min,"Drama, Musical, Romance",4.2,590,Subhash Ghai,Mishti,Kartik Aaryan,Rishi Kapoor
Kaanchli Life in a Slough,-2020.0,101 min,Drama,7.3,85,Dedipya Joshii,Sanjay Mishra,Shikha Malhotra,Nareshpal Singh Chouhan
Kaanoon Ki Awaaz,-1989.0,127 min,"Action, Crime",3.8,10,P. Chandrasekhar,R. Kumar,Balwant Dullat,Shatrughan Sinha
Kaante,-2002.0,150 min,"Action, Crime, Drama",6.5,"4,738",Sanjay Gupta,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty
Kaaranama,-1990.0,138 min,Drama,4.8,17,Ranjeet,Vinod Khanna,Kimi Katkar,Farha Naaz
Kaash,-1987.0,140 min,Drama,6.3,197,Mahesh Bhatt,Jackie Shroff,Dimple Kapadia,Master Makrand
Kaash,-2015.0,106 min,Drama,5.0,20,Ishaan Nair,Nidhi Sunil,Kavya Trehan,Varun Mitra
Kaash... Hamara Dil Pagal Na Hota,-2003.0,149 min,Comedy,3.6,7,Mangal Anand,Sunil Singh,Chetan Aneja,Mithun Purandare
Kaashi in Search of Ganga,-2018.0,125 min,Thriller,5.4,259,Dhiraj Kumar,Prince Adhikari,Aishwarya Devan,Kranti Prakash Jha
Kab? Kyoon? Aur Kahan?,-1970.0,136 min,"Action, Mystery, Romance",6.8,117,Arjun Hingorani,Dharmendra,Babita Kapoor,Pran
Kabaad- The Coin,-2021.0,132 min,Drama,6.6,76,Varadraj Swami,Vivaan Shah,Zoya Afroz,Abhishek Bajaj
Kabali,-2016.0,153 min,"Action, Crime, Drama",6.2,"11,886",Pa. Ranjith,Rajinikanth,Winston Chao,Radhika Apte
Kabhi Alvida Naa Kehna,-2006.0,193 min,"Drama, Romance",6.1,"18,783",Karan Johar,Shah Rukh Khan,Rani Mukerji,Amitabh Bachchan
Kabhi Haan Kabhi Naa,-1994.0,158 min,"Comedy, Drama, Music",7.8,"17,567",Kundan Shah,Shah Rukh Khan,Suchitra Krishnamoorthi,Deepak Tijori
Kabhi Khushi Kabhie Gham...,-2001.0,210 min,"Drama, Musical, Romance",7.4,"46,172",Karan Johar,Shah Rukh Khan,Kajol,Amitabh Bachchan
Kabhi Na Kabhi,-1998.0,157 min,"Action, Drama, Romance",4.3,158,Priyadarshan,Jackie Shroff,Anil Kapoor,Pooja Bhatt
Kabhi Paas Kabhi Fail,-1999.0,95 min,"Comedy, Family",6.2,20,Virendra Saini,Sajeel Parakh,Saurabh Shukla,Sona
Kabhie Kabhie,-1976.0,177 min,"Drama, Romance",7.4,"1,986",Yash Chopra,Amitabh Bachchan,Shashi Kapoor,Rakhee Gulzar
Kabir Singh,-2019.0,173 min,"Action, Drama, Romance",7.1,"27,731",Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Nikita Dutta
Kabli Khan,-1963.0,123 min,"Action, Musical",4.8,9,K. Amarnath,Ajit,Helen,Samson
Kabrastan,-1988.0,135 min,Horror,3.7,27,Mohan Bhakri,Hemant Birje,Kamna,Javed Khan
Kabrastan,-2000.0,109 min,Horror,3.1,16,Ramesh U. Lakhiani,Amit Kapoor,Satnam Kaur,Shehzad Khan
Kabul Express,-2006.0,105 min,"Adventure, Comedy, Drama",6.8,"3,181",Kabir Khan,John Abraham,Arshad Warsi,Salman Shahid
Kabuliwala,-1961.0,95 min,Drama,7.8,317,Hemen Gupta,Balraj Sahni,Baby Sonu,Usha Kiran
Kabzaa,-1988.0,143 min,"Action, Crime, Drama",5.9,185,Mahesh Bhatt,Raj Babbar,Sanjay Dutt,Amrita Singh
Kaccha Limboo,-2011.0,141 min,"Comedy, Family",6.4,88,Sagar Ballary,Muntazir Ahmad,Karan Bhanushali,Bhairavi Goswami
Kachche Dhaage,-1999.0,144 min,"Action, Drama, Thriller",6.0,"1,428",Milan Luthria,Ajay Devgn,Saif Ali Khan,Manisha Koirala
Kachchi Sadak,-2006.0,145 min,"Action, Drama",6.1,34,Sanjay D. Singh,Rahul Singh,Parmita Katkar,Tinnu Anand
Kadakh,-2019.0,108 min,"Comedy, Drama, Thriller",7.0,"1,381",Rajat Kapoor,Ranvir Shorey,Mansi Multani,Palomi Ghosh
Kadal Meengal,-1981.0,137 min,Drama,6.6,76,G.N. Rangarajan,Kamal Haasan,Sujatha,Ambika
Kadamban,-2017.0,142 min,"Action, Adventure, Drama",5.3,417,N. Ragavan,Arya,Catherine Tresa,Deepraj Rana
Kadhal Desam,-1996.0,158 min,"Comedy, Drama, Romance",6.8,458,Kathir,Abbas,S.P. Balasubrahmanyam,Chaplin Balu
Kadhal Mannan,-1998.0,135 min,"Drama, Romance",7.1,789,Saran,Ajith Kumar,Maanu,M.S. Viswanathan
Kadke Kamal Ke,-2019.0,136 min,Comedy,6.8,5,Laxman Singh,Aaryan Adhikari,Neeta Dhungana,Rajpal Yadav
Kadvi Hawa,-2017.0,95 min,Drama,8.1,985,Nila Madhab Panda,Nilamadhab Panda,Sanjay Mishra,Ranvir Shorey
Kafan,-1990.0,147 min,Horror,5.8,48,Dhirendra Bohra,Javed Khan,Jamuna,Viju Khote
Kagaar: Life on the Edge,-2003.0,150 min,"Crime, Drama",5.7,50,N. Chandra,Om Puri,Nandita Das,Amitabh Dayal
Kahaani,-2012.0,122 min,"Mystery, Thriller",8.1,"59,060",Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta
Kahaani 2,-2016.0,127 min,"Mystery, Thriller",6.6,"5,159",Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj
Kahaani Gudiya Ki...: True Story of a Woman,-2008.0,112 min,"Biography, Drama",5.8,32,Prabhakar Shukla,Divya Dutta,Arif Zakaria,Rajpal Yadav
Kahan Hai Kanoon,-1989.0,131 min,Action,6.9,7,Deepak Balraj Vij,Sadashiv Amrapurkar,Anand Balraj,Sudhir Dalvi
Kahani Ek Chor Ki,-1981.0,138 min,"Action, Crime",5.2,9,S. Ramanathan,Asrani,Master Bhagwan,Chandrashekhar
Kahani Kismat Ki,-1973.0,131 min,"Action, Drama",6.0,90,Arjun Hingorani,Dharmendra,Rekha,Ajit
Kahin Din Kahin Raat,-1968.0,165 min,"Action, Crime, Thriller",5.6,14,Darshan Sabharwal,Biswajit Chatterjee,Sapana,Pran
Kahin Hai Mera Pyar,-2014.0,138 min,"Drama, Musical, Romance",5.7,18,Mahesh Vaijnath Doijode,Manas Das,Eesha Agarwal,Gajendra Chauhan
Kahin Pyaar Na Ho Jaaye,-1963.0,120 min,Comedy,7.5,24,Kalpataru,Shakila,Mehmood,Om Prakash
Kaho Naa... Pyaar Hai,-2000.0,172 min,"Action, Musical, Romance",6.9,"14,186",Rakesh Roshan,Hrithik Roshan,Ameesha Patel,Anupam Kher
Kai Kodukkam Kai,-1984.0,131 min,"Action, Drama",6.3,75,J. Mahendran,Chinnijayanth,Y.G. Mahendran,Rajinikanth
Kai Po Che,-2013.0,120 min,"Drama, Sport",7.8,"34,048",Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao
Kairee,-1999.0,93 min,Drama,5.4,104,Amol Palekar,Yogita Deshmukh,Shilpa Navalkar,Mohan Gokhale
Kaisay Kahein...,-2007.0,123 min,"Drama, Romance",6.2,54,Mohit Hussein,Rajvirr Singh,Neha Julka,Aditi Govitrikar
Kajarya,-2013.0,132 min,Drama,6.6,131,Madhureeta Anand,Meenu Hooda,Ridhima Sud,Kuldeep Ruhil
Kajraare,-2010.0,112 min,"Crime, Drama, Romance",2.8,404,Pooja Bhatt,Himesh Reshammiya,Sara Loren,Amrita Singh
Kaksparsh,-2012.0,140 min,"Drama, Family, History",7.9,779,Mahesh Manjrekar,Sachin Khedekar,Priya Bapat,Abhijit Kelkar
Kal Aaj Aur Kal,-1971.0,156 min,"Family, Musical, Romance",6.9,308,Randhir Kapoor,Prithviraj Kapoor,Raj Kapoor,Babita Kapoor
Kal Hamara Hai,-1959.0,127 min,Drama,6.7,18,S.K. Prabhakar,Madhubala,Bharat Bhushan,Jayant
Kal Ho Naa Ho,-2003.0,186 min,"Comedy, Drama, Musical",7.9,"64,972",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan
Kal Ki Awaz,-1992.0,162 min,Action,6.2,65,B.R. Chopra,Ravi Chopra,Dharmendra,Raj Babbar
Kal Kissne Dekha,-2009.0,134 min,"Action, Crime, Romance",3.6,435,Vivek Sharma,Jackky Bhagnani,Nushrat Bharucha,David Bueno
Kal: Yesterday and Tomorrow,-2005.0,120 min,"Drama, Mystery, Thriller",6.3,111,Ruchi Narain,Shiney Ahuja,Murad Ali,Ahmed Chaudhary
Kala Aadmi,-1960.0,140 min,"Action, Drama, Mystery",6.0,7,Ved-Madan,Ashok Kumar,Shyama,Johnny Walker
Kala Bazaar,-1989.0,160 min,"Action, Drama",5.5,203,Rakesh Roshan,Anil Kapoor,Jackie Shroff,Farha Naaz
Kala Bazar,-1960.0,163 min,"Crime, Drama, Musical",7.4,262,Vijay Anand,Dev Anand,Waheeda Rehman,Nanda
Kala Dhanda Goray Log,-1986.0,158 min,"Drama, Family",5.7,35,Sanjay Khan,Sunil Dutt,Sanjay Khan,Anita Raj
Kala Pani,-1958.0,164 min,"Crime, Musical, Romance",7.1,277,Raj Khosla,Dev Anand,Madhubala,Nalini Jaywant
Kala Pani,-1980.0,126 min,Action,5.6,16,Shibu Mitra,Shashi Kapoor,Neetu Singh,Bindu
Kalabaaz,-1977.0,145 min,"Action, Adventure, Drama",6.4,29,Ashok Roy,Dev Anand,Zeenat Aman,Pradeep Kumar
Kalaignan,-1993.0,143 min,"Action, Drama, Thriller",6.3,221,G.B. Vijay,Kamal Haasan,Bindiya,Farheen
Kalank,-2019.0,166 min,"Drama, Romance",3.6,"11,873",Abhishek Varman,Varun Dhawan,Alia Bhatt,Madhuri Dixit
Kali Ghata,-1951.0,145 min,"Drama, Romance",6.3,9,Kishore Sahu,Kishore Sahu,Bina Rai,Asha Mathur
Kali Ghata,-1980.0,131 min,"Romance, Thriller, Mystery",5.8,33,Ved Rahi,Shashi Kapoor,Rekha,Danny Denzongpa
Kali Salwaar,-2002.0,112 min,Drama,6.2,95,Fareeda Mehta,Sadiya Siddiqui,Irrfan Khan,Surekha Sikri
Kali Topi Lal Rumal,-1959.0,129 min,"Musical, Romance",5.7,15,Tara Harish,Shakila,Chandrashekhar,Agha
Kalichaat,-2018.0,70 min,Drama,8.0,6,Sudhanshu Sharma,Prakash Deshmukh,Virendra Kumar Nathenial,Geetika Shyam
Kalicharan,-1976.0,143 min,"Action, Adventure, Crime",6.7,251,Subhash Ghai,Shatrughan Sinha,Reena Roy,Ajit
Kalloori Vaasal,-1996.0,135 min,"Comedy, Romance",5.1,159,Pavithran,Ajith Kumar,Prashanth,Pooja Bhatt
Kalpana,-1948.0,122 min,Musical,6.7,39,Uday Shankar,Lakshmi Kanta,Usha Kiran,Lalitha
Kalsandhya,-1997.0,124 min,Drama,7.2,13,Bhabendra Nath Saikia,Hemen Barman,Munin Barua,Mridula Baruah
Kalyug,-1981.0,152 min,Drama,7.8,501,Shyam Benegal,Shashi Kapoor,Rekha,Raj Babbar
Kalyug,-2005.0,126 min,"Action, Crime, Drama",6.5,"2,566",Mohit Suri,Kunal Khemu,Deepal Shaw,Smiley Suri
Kama Sundari,-2001.0,130 min,Thriller,5.2,17,Balvinder Sandhu,Monica Castelino,Nagesh Bhonsle,Satyendra Kapoor
Kamaal Dhamaal Malamaal,-2012.0,148 min,"Comedy, Drama",4.1,750,Priyadarshan,Nana Patekar,Shreyas Talpade,Om Puri
Kamasutra 3D,-2013.0,110 min,"Drama, Romance",6.5,510,Rupesh Paul,Mohan Kapur,Abha Paul,Makrand Deshpande
Kambakkht Ishq,-2009.0,142 min,"Action, Comedy, Romance",3.9,"6,741",Sabir Khan,Sylvester Stallone,Denise Richards,Brandon Routh
Kaminey,-2009.0,130 min,"Action, Crime, Drama",7.4,"16,640",Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra Jonas,Deb Mukherjee
Kamla,-1984.0,120 min,Drama,7.1,55,Jag Mundhra,Shabana Azmi,Deepti Naval,Marc Zuber
Kamla Ki Maut,-1989.0,95 min,Drama,7.2,212,Basu Chatterjee,Pankaj Kapur,Supriya Pathak,Roopa Ganguly
Kamsin: The Untouched,-1997.0,88 min,Drama,5.1,12,Amit Suryavanshi,Birbal,K.K. Goswami,Jyoti
Kan Kan Men Bhagwan,-1963.0,124 min,"Adventure, Drama, Fantasy",5.8,10,Babubhai Mistry,Anita Guha,Mahipal,Ram Singh
Kanave Kalaiyadhe,-1999.0,157 min,"Action, Drama",6.0,22,V. Gowthaman,Sabitha Anand,Charlie,Chinnijayanth
Kandy Twist,-2019.0,113 min,Drama,8.2,8,Shiva Rindani,Dinero Ash,Pari Chaudhary,Greg de Sousa
Kaneez,-1949.0,140 min,"Drama, History",6.2,5,Krishna Kumar,Munawwar Sultana,Shyam,Urmila
Kangan,-1959.0,144 min,Mystery,6.8,9,Nanabhai Bhatt,Nirupa Roy,Ashok Kumar,Purnima
Kangan,-1971.0,139 min,Drama,6.6,16,K.B. Tilak,Ashok Kumar,Mala Sinha,Sanjeev Kumar
Kanhaiya,-1959.0,175 min,"Romance, Drama, Family",6.7,45,Om Prakash,Raj Kapoor,Nutan,Lalita Pawar
Kanmani,-1994.0,137 min,"Drama, Romance",3.7,7,R.K. Selvamani,Jaishankar,Mansoor Ali Khan,Lakshmi
Kannan Varuvaan,-2000.0,135 min,Romance,5.8,39,Sundar C.,Karthik,Mantra,Divyaa Unni
Kanoon,-1960.0,150 min,"Drama, Crime, Mystery",7.9,415,B.R. Chopra,Rajendra Kumar,Ashok Kumar,Nanda
Kanoon,-1994.0,104 min,"Action, Drama",3.1,135,Sushma Shiromani,Ajay Devgn,Urmila Matondkar,Kiran Kumar
Kanoon Apna Apna,-1989.0,162 min,"Action, Crime, Drama",5.6,146,Gopal B.,Dilip Kumar,Nutan,Sanjay Dutt
Kanpuriye,-2019.0,103 min,Drama,6.3,"1,098",Ashish Aryan,Aparshakti Khurana,Divyendu Sharma,Vijay Raaz
Kanwarlal,-1988.0,150 min,"Action, Drama",4.6,18,S.S. Ravichandra,Salma Agha,Arjun,Raj Babbar
Kanyadaan,-1968.0,149 min,"Drama, Romance",7.3,78,Mohan Segal,Asha Parekh,Shashi Kapoor,Sayeeda Khan
Kanyadaan,-2017.0,114 min,Drama,6.9,17,Akshay Dinesh Vaishnav,Deepika Amin,Mrinmayee Godbole,Darshan Jariwala
Kaphal: Wild Berries,-2013.0,90 min,"Action, Adventure, Drama",8.2,45,Batul Mukhtiar,Hema Bisht,Ramkishan Choyal,Subrat Dutta
Kapoor & Sons,-2016.0,132 min,"Comedy, Drama, Family",7.7,"23,991",Shakun Batra,Rishi Kapoor,Rajat Kapoor,Ratna Pathak Shah
Karam,-2005.0,117 min,"Action, Crime, Drama",5.5,"1,324",Sanjay F. Gupta,John Abraham,Priyanka Chopra Jonas,Bharat Dabholkar
Karamati Coat,-1993.0,86 min,"Comedy, Family, Fantasy",7.1,182,Ajay Karthik,Prachi Save,Swapnesh Sawant,Vikram Acharya
Karan,-1994.0,120 min,Action,4.0,23,Shiv Kumar,Virender Razdan,Prem Chopra,Balwant Dullat
Karan Arjun,-1995.0,175 min,"Action, Drama, Fantasy",6.8,"13,394",Rakesh Roshan,Rakhee Gulzar,Salman Khan,Shah Rukh Khan
Karar: The Deal,-2014.0,115 min,Thriller,4.2,64,Sabir,Mahek Chahal,Tarun Arora,Shashi Wadia
Karate,-1983.0,127 min,"Action, Drama, Musical",6.2,56,Deb Mukherjee,Mithun Chakraborty,Deb Mukherjee,Kaajal Kiran
Kareeb,-1998.0,145 min,"Drama, Romance",6.5,"1,094",Vidhu Vinod Chopra,Bobby Deol,Shabana Raza,Abhay Chopra
Karim Mohammed,-2018.0,99 min,Drama,4.8,30,Pawan Kumar Sharma,Alka Amin,Veer Gujjar,Rajesh Jais
Karishma Kudrat Kaa,-1985.0,185 min,"Action, Drama",6.1,57,Sunil Hingorani,Rati Agnihotri,Urmila Bhatt,Mithun Chakraborty
Karishmaa,-1984.0,130 min,"Crime, Thriller",6.5,43,I.V. Sasi,Kamal Haasan,Reena Roy,Tina Ambani
Karle Pyaar Karle,-2014.0,110 min,"Action, Romance",2.7,128,Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
Karm,-1977.0,156 min,"Drama, Family",6.7,72,B.R. Chopra,Rajesh Khanna,Vidya Sinha,Shabana Azmi
Karma,-1986.0,193 min,"Action, Adventure, Drama",7.4,"1,946",Subhash Ghai,Dilip Kumar,Nutan,Naseeruddin Shah
"Karma, Confessions and Holi",-2009.0,110 min,Drama,2.9,125,Manish Gupta,Rati Agnihotri,Armin Amiri,Kulraaj Anand
Karma: Crime. Passion. Reincarnation,-2008.0,97 min,"Crime, Drama, Mystery",5.0,105,M.R. Shahjahan,Alma S. Grey,Carl Weyant,Vijayendra Ghatge
Karmyudh,-1985.0,130 min,Action,4.4,16,Swaroop Kumar,Mithun Chakraborty,Anita Raj,Pran
Karobaar: The Business of Love,-2000.0,180 min,"Drama, Romance",4.4,237,Rakesh Roshan,Juhi Chawla,Anil Kapoor,Rishi Kapoor
Kartavya,-1979.0,168 min,"Action, Drama",7.0,55,Mohan Segal,Dharmendra,Rekha,Nirupa Roy
Karthik Calling Karthik,-2010.0,135 min,"Drama, Mystery, Romance",7.1,"11,005",Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor
Kartoos,-1999.0,124 min,"Action, Thriller",5.1,514,Mahesh Bhatt,Sanjay Dutt,Jackie Shroff,Manisha Koirala
Kartooz,-2014.0,97 min,"Action, Adventure",3.0,7,Panna Hossain,Faruque Azam,Anindita Chatterjee,Sumita Chatterjee
Karunamayudu,-1978.0,160 min,"Biography, Drama, Family",7.7,37,A. Bhimsingh,Christopher Coelho,Chandramohan,Rajasulochana
Karwaan,-2018.0,114 min,"Adventure, Comedy, Drama",7.6,"13,986",Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar
Karz,-1980.0,159 min,"Action, Musical, Romance",7.5,"2,146",Subhash Ghai,Rishi Kapoor,Tina Ambani,Simi Garewal
Karz: The Burden of Truth,-2002.0,173 min,"Action, Crime, Drama",3.9,390,Harry Baweja,Sunny Deol,Sunil Shetty,Shilpa Shetty Kundra
Karzzzz,-2008.0,142 min,"Action, Drama, Musical",2.1,"1,238",Satish Kaushik,Himesh Reshammiya,Urmila Matondkar,Shweta Kumar
Kasaai,-2019.0,96 min,Drama,6.6,29,Gajendra Shanker Shrotriya,Raman Atre,Ashok Banthia,Amit Bimrot
Kasak,-1992.0,150 min,"Drama, Romance",5.1,27,K. Bapaiah,Aparajita,Asrani,Laxmikant Berde
Kasak,-2005.0,107 min,Drama,4.5,63,Rajiv Babbar,Lucky Ali,Meera,Puneet Issar
Kasam,-1988.0,157 min,"Action, Drama, Romance",5.1,53,Umesh Mehra,Master Bunty,Sudhir Dalvi,Ketki Dave
Kasam Paida Karne Wale Ki,-1984.0,145 min,"Action, Drama",5.7,131,Babbar Subhash,Mithun Chakraborty,Smita Patil,Salma Agha
Kasam Teri Kasam,-1993.0,156 min,"Drama, Romance",4.3,15,Raman Kumar,Krishan Kumar,Kanchan,Kunickaa Sadanand
Kasauti,-1974.0,131 min,"Drama, Romance",5.9,115,Aravind Sen,Hema Malini,Amitabh Bachchan,Pran
Kasba,-1991.0,121 min,Drama,7.0,49,Kumar Shahani,Navjot Hansra,K.K. Raina,Manohar Singh
Kashmakash,-1973.0,134 min,"Action, Family, Mystery",5.4,13,Feroz Chinoy,Feroz Khan,Rekha,Shatrughan Sinha
Kashmir Daily,-2018.0,148 min,"Drama, Thriller",6.7,23,Hussein Khan,Zameer Ashai,Shahid Gulfam,Hussein Khan
Kashmir Ki Kali,-1964.0,168 min,"Comedy, Musical, Romance",7.1,487,Shakti Samanta,Shammi Kapoor,Sharmila Tagore,Pran
Kasoor,-2001.0,151 min,"Drama, Mystery, Thriller",6.0,937,Vikram Bhatt,Divya Dutta,Sucheta Paushe,Lisa Ray
Kath Putli,-1957.0,152 min,"Drama, Family",6.9,29,Nitin Bose,Amiya Chakrabarty,Vyjayanthimala,Balraj Sahni
Katha,-1983.0,141 min,"Comedy, Drama",7.8,"1,113",Sai Paranjape,Naseeruddin Shah,Farooq Shaikh,Deepti Naval
Kathor,-2018.0,110 min,Drama,5.6,10,Karan Kashyap,Lalit Parimoo,Sheetal Dimri,Abhisek Pandey
Kathputli,-1971.0,148 min,"Drama, Romance",6.9,34,Brij,Jeetendra,Mumtaz,Helen
Kati Patang,-1970.0,167 min,"Drama, Family, Musical",7.2,946,Shakti Samanta,Rajesh Khanna,Asha Parekh,Prem Chopra
Katilon Ke Kaatil,-1981.0,199 min,"Action, Comedy, Drama",6.4,92,Anil Hingorani,Arjun Hingorani,Dharmendra,Rishi Kapoor
Katiyabaaz,-2013.0,84 min,"Documentary, Drama",7.8,485,Deepti Kakkar,Fahad Mustafa,Ritu Maheshwari,Loha Singh
Katputtli,-2006.0,119 min,Thriller,5.6,24,Sanjay Khanna,Milind Soman,Mink Singh,Sameer Dharmadhikari
Katti Batti,-2015.0,135 min,"Comedy, Drama, Romance",4.9,"2,856",Nikkhil Advani,Imran Khan,Kangana Ranaut,Suhaas Ahuja
Kaun Hai Jo Sapno Mein Aaya,-2004.0,127 min,Musical,5.1,46,Rajesh Bhatt,Richa Pallod,Anupam Kher,Kader Khan
Kaun Jeeta Kaun Haara,-1987.0,119 min,"Comedy, Drama",5.9,29,Rakesh Kumar,Tinnu Anand,Amitabh Bachchan,Bhavana Balsawar
Kaun Kare Kurbanie,-1991.0,154 min,"Action, Crime, Drama",3.2,49,Arjun Hingorani,Dharmendra,Govinda,Anita Raj
Kaun Kitney Paani Mein,-2015.0,112 min,"Comedy, Drama, Family",6.1,458,Nila Madhab Panda,Kunal Kapoor,Radhika Apte,Saurabh Shukla
Kaun Rokega Mujhe,-1997.0,123 min,"Action, Thriller",3.8,18,Kamal Raj Bhasin,Coca Cola,Sadashiv Amrapurkar,Asrani
Kaun Sachcha Kaun Jhootha,-1997.0,130 min,"Drama, Mystery, Thriller",5.5,101,Partho Ghosh,Rishi Kapoor,Sridevi,Suresh Oberoi
Kaun?,-1999.0,90 min,"Mystery, Thriller",7.8,"3,764",Ram Gopal Varma,Urmila Matondkar,Manoj Bajpayee,Sushant Singh
Kaun? Kaisey?,-1983.0,127 min,Crime,6.4,45,Neelu Arora,Beena Bannerjee,Bina,Ardhendu Bose
Kavi Kalidas,-1959.0,139 min,"Drama, Musical",7.1,17,S.N. Tripathi,Bharat Bhushan,Nirupa Roy,Anita Guha
